RequisitionNumber, microservicePropertyURI, externalSourcePropertyURI, strengthOfEquivalence, quantityOfValuesMatched
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#naturalidade, http://xmlns.com/foaf/0.1/name, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#naturalidade, http://www.geonames.org/ontology#name, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#naturalidade, http://xmlns.com/foaf/0.1/givenName, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#naturalidade, http://purl.org/dc/elements/1.1/description, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#naturalidade, http://xmlns.com/foaf/0.1/surname, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#cutis, http://dbpedia.org/ontology/skinColor, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#dataNascimento, http://dbpedia.org/ontology/date, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#instrucao, http://xmlns.com/foaf/0.1/name, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#instrucao, http://www.geonames.org/ontology#name, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#instrucao, http://xmlns.com/foaf/0.1/givenName, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#instrucao, http://purl.org/dc/elements/1.1/description, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#instrucao, http://xmlns.com/foaf/0.1/surname, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#rg, http://www.omg.org/spec/EDMC-FIBO/FND/AgentsAndPeople/People/NationalIdentificationNumber, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nacionalidade, http://www.geonames.org/ontology#name, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://xmlns.com/foaf/0.1/name, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://www.geonames.org/ontology#name, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://xmlns.com/foaf/0.1/givenName, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://purl.org/dc/elements/1.1/description, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://xmlns.com/foaf/0.1/surname, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#sexo, http://www.omg.org/spec/EDMC-FIBO/FND/AgentsAndPeople/People/hasGender, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#primeiroNome, http://xmlns.com/foaf/0.1/givenName, 1.0, 1
1, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#primeiroNome, http://xmlns.com/foaf/0.1/surname, 1.0, 1
2, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#naturalidade, http://xmlns.com/foaf/0.1/givenName, 1.0, 2
2, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#naturalidade, http://xmlns.com/foaf/0.1/surname, 1.0, 2
2, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#cutis, http://dbpedia.org/ontology/skinColor, 1.0, 1
2, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#dataNascimento, http://dbpedia.org/ontology/date, 1.0, 2
2, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#rg, http://www.omg.org/spec/EDMC-FIBO/FND/AgentsAndPeople/People/NationalIdentificationNumber, 1.0, 2
2, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nacionalidade, http://www.geonames.org/ontology#name, 1.0, 1
2, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://xmlns.com/foaf/0.1/name, 1.0, 2
2, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://www.geonames.org/ontology#name, 1.0, 2
2, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://xmlns.com/foaf/0.1/givenName, 1.0, 2
2, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://purl.org/dc/elements/1.1/description, 1.0, 2
2, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://xmlns.com/foaf/0.1/surname, 1.0, 2
2, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#sexo, http://www.omg.org/spec/EDMC-FIBO/FND/AgentsAndPeople/People/hasGender, 1.0, 1
3, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#naturalidade, http://xmlns.com/foaf/0.1/givenName, 1.0, 3
3, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#naturalidade, http://xmlns.com/foaf/0.1/surname, 1.0, 3
3, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#cutis, http://dbpedia.org/ontology/skinColor, 1.0, 2
3, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#dataNascimento, http://dbpedia.org/ontology/date, 1.0, 3
3, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#rg, http://www.omg.org/spec/EDMC-FIBO/FND/AgentsAndPeople/People/NationalIdentificationNumber, 1.0, 3
3, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nacionalidade, http://www.geonames.org/ontology#name, 1.0, 1
3, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://xmlns.com/foaf/0.1/name, 1.0, 3
3, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://www.geonames.org/ontology#name, 1.0, 3
3, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://xmlns.com/foaf/0.1/givenName, 1.0, 3
3, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://purl.org/dc/elements/1.1/description, 1.0, 3
3, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#nome, http://xmlns.com/foaf/0.1/surname, 1.0, 3
3, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#sexo, http://www.omg.org/spec/EDMC-FIBO/FND/AgentsAndPeople/People/hasGender, 1.0, 2
4, http://127.0.0.1:8081/criminal-report-person-microservice/ontology#naturalidade, http://xmlns.com/foaf/0.1/givenName, 1.0, 4
